"null","Sourced","Placed","References","Value","LCSC","Quantity"
1,"","","C5, C6, C9, C10","100nF","C38141",4
2,"","","C1, C2, C8","10uF","C7171",3
3,"","","C4, C7","10U","C15850",2
4,"","","C3","1U","C215803",1
5,"","","R1, R2, R7, R8, R10, R11","100k","C149504",6
6,"","","R3, R9",220,"C17557",2
7,"","","R5, R6","10k","C17414",2
8,"","","R4","2k","C17604",1
9,"","","D1, D4, D5, D7, D8","30V","C124187",5
10,"","","D2, D3, D6","5.0V","C383211",3
11,"","","U1","AP2112","C3021085",1
12,"","","U3","CP2102","C6568",1
13,"","","U4","MCP73831","C14879",1
14,"","","U5","BUZZER","C95299",1
15,"","","U6","ESP32-WROOM-32E","C701341",1
16,"","","T1, T2, T3","BC817","C52801",3
17,"","","S1, S2","SPST","C318884",2
18,"","","LED1","RED","C84256",1
19,"","","Q1","DMG3415U","C96616",1
20,"","","U$3","","",1
21,"","","J2, J3, J5","2P","C295747",3
22,"","","J1","USB-A-MICRO-SMD-SIDE","C381143",1
23,"","","J4","2P","C492401",1
24,"","","J7","3P","",1
25,"","","P1, P2, P3","2P","C3195190",3
